#,"Year 1","Year 2","Year 3","Year 4","Year 5",Selected,Active,Barcode(s),"Asset Type",Consumable,"Asset Name","Asset Description","Bin Location","Pick Number",Campus,Building,Room,Zone,Category,"Custom Label and Max booking limit",Course,Store
1,No,No,No,No,No,No,Yes,DMM00214,0,No,"1 x Goosenecks for AKG 451",,,,,P.A.T.S,,"Between D & E","Brand: AKG",,,
2,No,No,No,No,No,No,Yes,DMM00924,0,No,"2.5m diameter vertical loudspeaker rig",,,,,"Teaching Block",TB7,,"Monitors and Amps",,,
3,No,No,No,No,No,No,Yes,DMM00156,0,No,"2M/2F XLR to 4xB-Gauge loom",,,,,P.A.T.S,,,Multicores,,,
4,No,No,No,No,No,No,Yes,DMM00182,0,No,"2 x Cannon S35 Darth Vader Passive Loudspeakers",,,,,"Teaching Block",TB7,,"Research equipment",,,
5,No,No,No,No,No,No,Yes,DMM00183,0,No,"2 x Cannon Wedge Shaped Loudspeakers",,,,,"Teaching Block",TB7,,"Research equipment",,,
6,No,No,No,No,No,No,Yes,DMM00184,0,No,"2 x Fane Mini Pro DML",,,,,"Teaching Block",TB7,,"Research equipment",,,
7,No,No,No,No,No,No,Yes,DMM00186,0,No,"2 x Genelec 8020 Speakers Kit 1",,,,,"Teaching Block",TB7,J5,"Monitors and Amps, Research equipment",,,
8,No,No,No,No,No,No,No,DMM00187,0,No,"2 x Genelec 8020 Speakers Kit 2",,,,,"Teaching Block",TB7,J5,"Monitors and Amps, Research equipment",,,
9,No,No,No,No,No,No,No,DMM00188,0,No,"2 x Genelec 8020 Speakers Kit 3",,,,,"Teaching Block",TB7,J5,"Monitors and Amps, Research equipment",,,
10,No,No,No,No,Yes,Yes,Yes,DMM01016,0,No,"2 x Genelec 8040 Speakers","2 x Genelec 8040 Speakers in carry bag
Plus Interspace PCBB2 Interface",,,,PATS,PA15,Workshop,"Monitors and Amps, Research equipment",,,
11,No,No,No,No,No,No,Yes,DMM00185,0,No,"2 x Genelec Speakers + Subwoofer",,,,,"Teaching Block",TB7,,"Monitors and Amps, Research equipment",,,
12,No,No,No,No,No,No,Yes,DMM00189,0,No,"2 x Very poor quality loudspeaker",,,,,"Teaching Block",TB7,,"Monitors and Amps, Research equipment",,,
13,No,No,No,No,No,No,Yes,DMM00923,0,No,"4m diameter horizontal loudspeaker rig",,,,,"Teaching Block",TB7,,"Monitors and Amps",,,
14,No,No,No,No,No,No,No,DMM00926,0,No,"6 x brown starquad XLR",,,,,,,,Cables,,,
15,No,No,No,No,No,No,No,DMM00925,0,No,"8 x grey XLR",,,,,,,,Cables,,,
16,No,No,No,No,No,No,No,DMM00843,1,No,"AA Edit Suite","Mac Labs edit suite
Genelec Monitors
Focusrite - Scarlett 2i4 interface.
(Door code access - 1+2, 4)",,,"Stag Hill",AA,,,"Media Labs",,"UOS / CMT",
17,No,No,No,No,No,No,Yes,DMM01098,0,No,"Ableton Push 2","Comes with PSU and USB lead",,,,P.A.T.S,PA16,K5,"Computer Interfaces & Peripherals",,"UOS / CMT",
18,No,Yes,No,Yes,Yes,Yes,Yes,"DMM00516, DMM00517, DMM00518",0,No,"AC Bag","Contains:
Slate
Tapes (coloured, camera, gaffer)
4x coloured whiteboard markers with whiteboard eraser
4x coloured Sharpies
4x non-permanent pencils
Notebook and pen
White card
Lastolite EzyBalance
Torch
Socket tester
Mini bellow (air)
Compressed air can
Lens cleaner spray with cloth
Anti-flare can
Cable ties
Carabiner
Small bungee
Tape measure",,,"Stag Hill",AC,04AC01,B3,"Camera and Lens Accessories",,,
19,No,No,No,No,No,No,Yes,DMM00178,0,No,Acoustilyzer,"Acoustilyzer and MiniSPL kit",,,,,"Technical Store",,"Research equipment",,,
20,No,No,No,No,No,No,Yes,DMM00130,0,No,"Active DI no. 1","Radial J48",,,,P.A.T.S,,B2,"DI boxes",,,
21,No,No,No,No,No,No,Yes,DMM00131,0,No,"Active DI no. 2","Radial J48",,,,P.A.T.S,,B2,"DI boxes",,,
22,No,No,No,No,No,No,Yes,DMM00132,0,No,"Active DI no. 3","Radial J48",,,,P.A.T.S,,B2,"DI boxes",,,
23,No,No,No,No,No,No,Yes,DMM00133,0,No,"Active DI no. 4","Radial J48",,,,P.A.T.S,,B2,"DI boxes",,,
24,No,No,No,No,No,No,Yes,"DMM00859, DMM00856, DMM00858, DMM00857",0,No,"Akai APC Key 25","Ableton Live controller with keybaord",,,,P.A.T.S,PA16,K1,"Midi Controllers",,"UOS / CMT",
25,No,No,No,No,No,No,Yes,DMM00855,0,No,"AKAI MPK mini","Compact keyboard and pad controller",,,,P.A.T.S,PA16,,"Midi Controllers",,"UOS / CMT",
26,No,No,No,No,No,No,Yes,DMM00029,0,No,"AKG C12A x2 kit","In box with leads and PSUs.",,,,P.A.T.S,,B6,"Microphones, Brand: AKG, Type: Valve, Directivity: Omni, Directivity: Cardioid, Directivity: Fig-8, Directivity: Hyper, Directivity: Sub, Type: Condenser, Type: Large Diaphragm",,,
