hi,"Year 1","Year 2","Year 3","Year 4","Year 5",Selected,Active,Barcode(s),"Asset Type","Asset Name",Category,Course
1,No,No,No,No,No,No,Yes,DMM00214,0,"1 x Goosenecks for AKG 451","Brand: AKG",
2,No,No,No,No,No,No,Yes,DMM00924,0,"2.5m diameter vertical loudspeaker rig","Monitors and Amps",
3,No,No,No,No,No,No,Yes,DMM00156,0,"2M/2F XLR to 4xB-Gauge loom",Multicores,
4,No,No,No,No,No,No,Yes,DMM00182,0,"2 x Cannon S35 Darth Vader Passive Loudspeakers","Research equipment",
5,No,No,No,No,No,No,Yes,DMM00183,0,"2 x Cannon Wedge Shaped Loudspeakers","Research equipment",
6,No,No,No,No,No,No,Yes,DMM00184,0,"2 x Fane Mini Pro DML","Research equipment",
7,No,No,No,No,No,No,Yes,DMM00186,0,"2 x Genelec 8020 Speakers Kit 1","Monitors and Amps, Research equipment",
8,No,No,No,No,No,No,No,DMM00187,0,"2 x Genelec 8020 Speakers Kit 2","Monitors and Amps, Research equipment",
9,No,No,No,No,No,No,No,DMM00188,0,"2 x Genelec 8020 Speakers Kit 3","Monitors and Amps, Research equipment",
10,No,No,No,No,Yes,Yes,Yes,DMM01016,0,"2 x Genelec 8040 Speakers","Monitors and Amps, Research equipment",
11,No,No,No,No,No,No,Yes,DMM00185,0,"2 x Genelec Speakers + Subwoofer","Monitors and Amps, Research equipment",
12,No,No,No,No,No,No,Yes,DMM00189,0,"2 x Very poor quality loudspeaker","Monitors and Amps, Research equipment",
13,No,No,No,No,No,No,Yes,DMM00923,0,"4m diameter horizontal loudspeaker rig","Monitors and Amps",
14,No,No,No,No,No,No,No,DMM00926,0,"6 x brown starquad XLR",Cables,
15,No,No,No,No,No,No,No,DMM00925,0,"8 x grey XLR",Cables,
16,No,No,No,No,No,No,No,DMM00843,1,"AA Edit Suite","Media Labs","UOS / CMT"
17,No,No,No,No,No,No,Yes,DMM01098,0,"Ableton Push 2","Computer Interfaces & Peripherals","UOS / CMT"
18,No,Yes,No,Yes,Yes,Yes,Yes,"DMM00516, DMM00517, DMM00518",0,"AC Bag","Camera and Lens Accessories",
19,No,No,No,No,No,No,Yes,DMM00178,0,Acoustilyzer,"Research equipment",
20,No,No,No,No,No,No,Yes,DMM00130,0,"Active DI no. 1","DI boxes",
21,No,No,No,No,No,No,Yes,DMM00131,0,"Active DI no. 2","DI boxes",
22,No,No,No,No,No,No,Yes,DMM00132,0,"Active DI no. 3","DI boxes",
23,No,No,No,No,No,No,Yes,DMM00133,0,"Active DI no. 4","DI boxes",
24,No,No,No,No,No,No,Yes,"DMM00859, DMM00856, DMM00858, DMM00857",0,"Akai APC Key 25","Midi Controllers","UOS / CMT"
25,No,No,No,No,No,No,Yes,DMM00855,0,"AKAI MPK mini","Midi Controllers","UOS / CMT"
26,No,No,No,No,No,No,Yes,DMM00029,0,"AKG C12A x2 kit","Microphones, Brand: AKG, Type: Valve, Directivity: Omni, Directivity: Cardioid, Directivity: Fig-8, Directivity: Hyper, Directivity: Sub, Type: Condenser, Type: Large Diaphragm",
27,No,No,No,No,No,No,No,DMM00027,0,"AKG C12 x1 kit 1","Microphones, Brand: AKG, Type: Valve, Directivity: Omni, Directivity: Cardioid, Directivity: Fig-8, Directivity: Hyper, Directivity: Sub, Type: Condenser, Type: Large Diaphragm",
28,No,No,No,No,No,No,Yes,DMM00028,0,"AKG C12 x2 kit 2","Microphones, Brand: AKG, Type: Valve, Directivity: Omni, Directivity: Cardioid, Directivity: Fig-8, Directivity: Hyper, Directivity: Sub, Type: Condenser, Type: Large Diaphragm",
29,No,No,No,No,No,No,Yes,DMM00030,0,"AKG C24 x1 kit","Microphones, Brand: AKG, Type: Valve, Directivity: Omni, Directivity: Cardioid, Directivity: Fig-8, Directivity: Hyper, Directivity: Sub, Type: Condenser, Type: Large Diaphragm",
30,No,No,No,No,No,No,No,DMM00745,0,"AKG C3000 No. 1","Microphones, Brand: AKG",
31,No,No,No,No,No,No,Yes,DMM00019,0,"AKG C414B-ULS x2 kit 1","Microphones, Brand: AKG, Directivity: Omni, Directivity: Cardioid, Directivity: Fig-8, Directivity: Hyper, Type: Condenser, Type: Large Diaphragm",
32,No,No,No,No,No,No,Yes,DMM00020,0,"AKG C414B-ULS x2 kit 2","Microphones, Brand: AKG, Directivity: Omni, Directivity: Cardioid, Directivity: Fig-8, Directivity: Hyper, Type: Condenser, Type: Large Diaphragm",
33,No,No,No,No,No,No,Yes,DMM00021,0,"AKG C414B-XLS x1 kit 1","Microphones, Brand: AKG, Directivity: Omni, Directivity: Cardioid, Directivity: Fig-8, Directivity: Hyper, Type: Condenser, Type: Large Diaphragm",
34,No,No,No,No,No,No,Yes,DMM00022,0,"AKG C414B-XLS x1 kit 2","Microphones, Brand: AKG, Directivity: Omni, Directivity: Cardioid, Directivity: Fig-8, Directivity: Hyper, Type: Condenser, Type: Large Diaphragm",
35,No,No,No,No,No,No,Yes,DMM00023,0,"AKG C414B-XLS x1 kit 3","Microphones, Brand: AKG, Directivity: Omni, Directivity: Cardioid, Directivity: Fig-8, Directivity: Hyper, Type: Condenser, Type: Large Diaphragm",
36,No,No,No,No,No,No,No,DMM00024,0,"AKG C414B-XLS x1 kit 4","Microphones, Brand: AKG, Directivity: Omni, Directivity: Cardioid, Directivity: Fig-8, Directivity: Hyper, Type: Condenser, Type: Large Diaphragm",
37,No,No,No,No,No,No,Yes,DMM00025,0,"AKG C414B-XLS x1 kit 5","Microphones, Brand: AKG, Directivity: Omni, Directivity: Cardioid, Directivity: Fig-8, Directivity: Hyper, Type: Condenser, Type: Large Diaphragm",
38,No,No,No,No,No,No,Yes,DMM00026,0,"AKG C414B-XLS x1 kit 6","Microphones, Brand: AKG, Directivity: Omni, Directivity: Cardioid, Directivity: Fig-8, Directivity: Hyper, Type: Condenser, Type: Large Diaphragm",
39,No,No,No,No,No,No,Yes,DMM00018,0,"AKG C414EB x2 kit 1","Microphones, Brand: AKG, Directivity: Omni, Directivity: Cardioid, Directivity: Fig-8, Directivity: Hyper, Type: Condenser, Type: Large Diaphragm",
40,No,No,No,No,No,No,Yes,DMM00830,0,"AKG C414 XLS","Microphones, Brand: AKG","UOS / CMT"
41,No,No,No,No,No,No,Yes,DMM00031,0,"AKG C426","Microphones, Brand: AKG, Directivity: Omni, Directivity: Cardioid, Directivity: Fig-8, Directivity: Hyper, Directivity: Sub, Type: Condenser, Type: Large Diaphragm",
42,No,No,No,No,No,No,No,DMM00714,0,"AKG C451E Kit 1","TV Studio Microphones, Brand: AKG",
43,No,No,No,No,No,No,Yes,DMM00032,0,"AKG C451 x2 kit 1","Microphones, Brand: AKG, Directivity: Cardioid, Directivity: Fig-8, Type: Condenser, Type: Small Diaphragm",
44,No,No,No,No,No,No,Yes,DMM00033,0,"AKG C451 x2 kit 2","Microphones, Brand: AKG, Directivity: Omni, Directivity: Cardioid, Type: Condenser, Type: Small Diaphragm",
45,No,No,No,No,No,No,Yes,DMM00034,0,"AKG C460B x2 kit 1","Microphones, Brand: AKG, Directivity: Omni, Directivity: Cardioid, Type: Condenser, Type: Small Diaphragm",
46,No,No,No,No,No,No,Yes,DMM00035,0,"AKG C460B x2 kit 2","Mains distribution, Microphones, Brand: AKG, Directivity: Cardioid, Type: Condenser, Type: Small Diaphragm",
47,No,No,No,No,No,No,Yes,DMM00036,0,"AKG C567E","Microphones, Brand: AKG, Directivity: Omni, Type: Condenser, Type: Lavalier",
48,No,No,No,No,No,No,Yes,DMM00037,0,"AKG D112E","Microphones, Brand: AKG, Directivity: Cardioid, Type: Dynamic",
49,No,No,No,No,No,No,Yes,DMM00038,0,"AKG D12","Microphones, Brand: AKG, Directivity: Cardioid, Type: Dynamic",
50,No,No,No,No,No,No,Yes,DMM00719,0,"AKG Goosenecks","TV Studio Microphones, Brand: AKG",
51,No,No,No,No,No,No,Yes,DMM00147,0,"AKG Pop Shield No. 1","Pop shields",
52,No,No,No,No,No,No,Yes,DMM00148,0,"AKG Pop Shield No. 2","Pop shields",
53,No,No,No,No,No,No,Yes,DMM00146,0,"AKG Pop Shield No. 3","Pop shields",
54,No,No,No,No,No,No,Yes,DMM00886,0,"AKG Pop Shield No. 4","Pop shields",
55,No,No,No,No,No,No,Yes,DMM00883,0,"AKG Pop Shield No. 5","Pop shields",
56,No,No,No,No,No,No,Yes,DMM00884,0,"AKG Pop Shield No. 6","Pop shields",
57,No,No,No,No,No,No,Yes,DMM00885,0,"AKG Pop Shield No. 7","Pop shields",
58,Yes,Yes,No,Yes,Yes,Yes,Yes,"DMM00746, DMM00747, DMM00721, DMM00720, DMM00713",0,"AKG SE300B","Microphones, FPBE Microphones",FPBE
59,No,No,No,No,No,No,Yes,DMM01097,0,"ALM System Coupe","Musical Instruments, Computer Interfaces & Peripherals","UOS / CMT"
60,No,No,No,No,No,No,Yes,DMM01088,0,"Alto Flute No.1","Musical Instruments",
61,No,No,No,No,No,No,Yes,DMM01089,0,"Alto Flute No.2","Musical Instruments",
62,No,No,No,No,No,No,Yes,DMM00104,0,"ALU Location Recording Kit","Portable Recorders, Portable Consoles",
63,No,Yes,No,Yes,Yes,Yes,Yes,DMM00842,0,"Ambient Clockit Controller","Portable Recorders",FPBE
64,No,Yes,No,Yes,Yes,Yes,Yes,"DMM00839, DMM00840",0,"Ambient Lockit Box ","Stock, Portable Recorders",FPBE
65,No,No,No,No,No,No,Yes,DMM01140,0,"C-Stand 40"" With Sliding Leg","DSLR Cameras",FPBE
66,No,No,No,No,No,No,Yes,DMM01141,0,"C-Stand 40"" With Sliding Leg",,FPBE
67,No,No,No,No,No,No,Yes,DMM01142,0,"Aputure 2x Fresnel Lens",Lenses,FPBE
68,No,No,No,No,No,No,Yes,"DMM01143, DMM01144",0,"Aputure Barn Doors",,FPBE
69,Yes,Yes,No,Yes,Yes,Yes,Yes,DMM01106,0,"Aputure F10 Barn Doors","Lighting Accessories",
70,Yes,Yes,No,Yes,Yes,Yes,Yes,DMM01110,0,"Aputure F10 Fresnel Lens","Lenses, Lighting Accessories",
